Experiment number: 0;Execution time: 0.106048 seconds
Experiment number: 1;Execution time: 0.165422 seconds
Experiment number: 2;Execution time: 0.109270 seconds
Experiment number: 3;Execution time: 0.138110 seconds
Experiment number: 4;Execution time: 0.127867 seconds
Experiment number: 5;Execution time: 0.233993 seconds
Experiment number: 6;Execution time: 0.232694 seconds
Experiment number: 7;Execution time: 0.232049 seconds
Experiment number: 8;Execution time: 0.112844 seconds
Experiment number: 9;Execution time: 0.156070 seconds
Experiment number: 10;Execution time: 0.113132 seconds
Experiment number: 11;Execution time: 0.200982 seconds
Experiment number: 12;Execution time: 0.178487 seconds
Experiment number: 13;Execution time: 0.208768 seconds
Experiment number: 14;Execution time: 0.188802 seconds
Experiment number: 15;Execution time: 0.243618 seconds
Experiment number: 16;Execution time: 0.124531 seconds
Experiment number: 17;Execution time: 0.086734 seconds
Experiment number: 18;Execution time: 0.137164 seconds
Experiment number: 19;Execution time: 0.089220 seconds
Experiment number: 20;Execution time: 0.169792 seconds
Experiment number: 21;Execution time: 0.109732 seconds
Experiment number: 22;Execution time: 0.162380 seconds
Experiment number: 23;Execution time: 0.120234 seconds
Experiment number: 24;Execution time: 0.143632 seconds
Experiment number: 25;Execution time: 0.165349 seconds
Experiment number: 26;Execution time: 0.213866 seconds
Experiment number: 27;Execution time: 0.070139 seconds
Experiment number: 28;Execution time: 0.152409 seconds
Experiment number: 29;Execution time: 0.194915 seconds
Experiment number: 30;Execution time: 0.124519 seconds
Experiment number: 31;Execution time: 0.080998 seconds
Experiment number: 32;Execution time: 0.068510 seconds
Experiment number: 33;Execution time: 0.152678 seconds
Experiment number: 34;Execution time: 0.119492 seconds
Experiment number: 35;Execution time: 0.061387 seconds
Experiment number: 36;Execution time: 0.194046 seconds
Experiment number: 37;Execution time: 0.167193 seconds
Experiment number: 38;Execution time: 0.140930 seconds
Experiment number: 39;Execution time: 0.078015 seconds
Experiment number: 40;Execution time: 0.130868 seconds
Experiment number: 41;Execution time: 0.114122 seconds
Experiment number: 42;Execution time: 0.233370 seconds
Experiment number: 43;Execution time: 0.136626 seconds
Experiment number: 44;Execution time: 0.208907 seconds
Experiment number: 45;Execution time: 0.091461 seconds
Experiment number: 46;Execution time: 0.125743 seconds
Experiment number: 47;Execution time: 0.101212 seconds
Experiment number: 48;Execution time: 0.116163 seconds
Experiment number: 49;Execution time: 0.196388 seconds
Experiment number: 50;Execution time: 0.190988 seconds
Experiment number: 51;Execution time: 0.080975 seconds
Experiment number: 52;Execution time: 0.160758 seconds
Experiment number: 53;Execution time: 0.169406 seconds
Experiment number: 54;Execution time: 0.199520 seconds
Experiment number: 55;Execution time: 0.139241 seconds
Experiment number: 56;Execution time: 0.079490 seconds
Experiment number: 57;Execution time: 0.236977 seconds
Experiment number: 58;Execution time: 0.123286 seconds
Experiment number: 59;Execution time: 0.151930 seconds
Experiment number: 60;Execution time: 0.202168 seconds
Experiment number: 61;Execution time: 0.220647 seconds
Experiment number: 62;Execution time: 0.168711 seconds
Experiment number: 63;Execution time: 0.179449 seconds
Experiment number: 64;Execution time: 0.181880 seconds
Experiment number: 65;Execution time: 0.150702 seconds
Experiment number: 66;Execution time: 0.123502 seconds
Experiment number: 67;Execution time: 0.167232 seconds
Experiment number: 68;Execution time: 0.185548 seconds
Experiment number: 69;Execution time: 0.114187 seconds
Experiment number: 70;Execution time: 0.149262 seconds
Experiment number: 71;Execution time: 0.229289 seconds
Experiment number: 72;Execution time: 0.172068 seconds
Experiment number: 73;Execution time: 0.128072 seconds
Experiment number: 74;Execution time: 0.235657 seconds
Experiment number: 75;Execution time: 0.131149 seconds
Experiment number: 76;Execution time: 0.163708 seconds
Experiment number: 77;Execution time: 0.171662 seconds
Experiment number: 78;Execution time: 0.196196 seconds
Experiment number: 79;Execution time: 0.157623 seconds
Experiment number: 80;Execution time: 0.077552 seconds
Experiment number: 81;Execution time: 0.073600 seconds
Experiment number: 82;Execution time: 0.189296 seconds
Experiment number: 83;Execution time: 0.149967 seconds
Experiment number: 84;Execution time: 0.105327 seconds
Experiment number: 85;Execution time: 0.141334 seconds
Experiment number: 86;Execution time: 0.196528 seconds
Experiment number: 87;Execution time: 0.211632 seconds
Experiment number: 88;Execution time: 0.176062 seconds
Experiment number: 89;Execution time: 0.168217 seconds
Experiment number: 90;Execution time: 0.169208 seconds
Experiment number: 91;Execution time: 0.198517 seconds
Experiment number: 92;Execution time: 0.221185 seconds
Experiment number: 93;Execution time: 0.134953 seconds
Experiment number: 94;Execution time: 0.142149 seconds
Experiment number: 95;Execution time: 0.213143 seconds
Experiment number: 96;Execution time: 0.154309 seconds
Experiment number: 97;Execution time: 0.154871 seconds
Experiment number: 98;Execution time: 0.127574 seconds
Experiment number: 99;Execution time: 0.131454 seconds
